버지니아 리 버튼
미치 앨봄
파블로 네루다
주디 블룸
후지코.F.후지오
야마와키 유리코
남상이
멕 캐봇
척 마틴
아라이 하쿠세키
원수연
김수용
토머스 해리스
켄 블랜차드
헬린 옥슨버리
로버트 먼치
톰 클랜시
이홍섭
마사 스튜어트
이해욱
김태영
육인선
삭티 거웨인
시미즈 이사오
조은정
김미영
신일숙
키스 데블린
이지상
사이토 히로시
박노해
존 버닝햄
김용옥
사이먼 윈체스터
타카하시 신
이규형
구로야나기 테츠코
앤서니 브라운
토머스 불핀치
나카니시 이노스케
야마다 아키히로
김승옥
앤 라이스
이언 포크너
Geoffrey A. Moore
정종목
데일 카네기
최명희
버지니아 울프
수잔나 파르취
짐 콜린스
나라 요시토모
김지룡
주드 데브루
이진경
마이클 크라이튼
제임스 조셉
로타르 J. 자이베르트
김수정
Richard A. Spears
권인택
리처드 칼슨
김소진
CLAMP
Chang-Rae Lee
구스미 다쿠야
이만교
권정태
야베 미치요
천계영
임철우
신철
유홍준
김은정
알 리스
Donald crews
마스이 사쿠라
유해룡
로버트 제임스 윌러
포리스트 카터
김진홍
김동화
강경옥
이홍렬
Raymond Murphy
Thomas J. Stanley
사토 와키코
미셸 푸코
페르디난트 자입트
아서 밀러
강철수
허균
제프리 초서
김진명
노암 촘스키
홍성대
샤르탄 포스키트
레오 리오니
김중미
로버트 그린
움베르토 에코
홍윤표
크리스티앙 자크
기형도
조창인
김혜린
최순우
최경숙
고우영
아이작 아시모프
고미 타로
오동명
서진규
스티브 비덜프
니코스 카잔차키스
폴 크루그먼
잭 트라우트
파울로 코엘료
앤드류 매튜스
다다 히로시
리처드 필립 파인만
마르쿠스 피스터
이보영
조애너 콜
심영순
이희수
황지우
다니엘 코엔
이성복
데즈카 오사무
오히라 미쓰요
탁연상
김혜순
케빈 켈리
하이럼 W. 스미스
나관중
피천득
마에다 마유미
장 마르크 레제르
김주영
아서 코난 도일
이상권
찰스 핸디
홍명희
김나경
이인화
허균(許筠)
조성근
루시 모드 몽고메리
아포스톨로스 독시아디스
홍세화
틱낫한
토마스 핀천
제러미 리프킨
김현
이미애
폴 호프만
스티븐 코비
권교정
유리 슐레비츠
팻 허친스
시내암
김병국
에드가 앨런 포
히키 루나
이호백
조승제
전동조
이문구
로저 젤라즈니
김영희
김진경
로버트 기요사키
아르놀트 하우저
토리야마 아키라
김구
심유미
시바 료타로
파트리크 쥐스킨트
미하이 칙센트미하이
크로켓 존슨
레스터 C.서로우
박정숙
신경림
데이비드 위스너
마광수
J. M. G. 르 클레지오
빌 게이츠
레이먼드 브릭스
나폴레온 힐
버크 헤지스
한석현
조동일
마이클 루이스
헨리 데이비드 소로우
권가야
비벌리 클리어리
김은희
에리히 프롬
기무라 유이치
김하인
유미리
유메마쿠라 바쿠
미치오 카쿠
호르헤 루이스 보르헤스
애거사 크리스티
이두호
오노 후유미
오토다케 히로타다
베르너 홀츠바르트
윤승운
수 타운센드
이빈
피터 F. 드러커
브라이언 커니핸
이재웅
필리프 반덴베르크
강우현
김난주
존 그레이
마크 피셔
앙투안 드 생텍쥐페리
닐 도널드 월시
원동연
신정원
이원수
이우혁
