ISBN13,TITLE,AUTHOR,PUBLISHER,PRICE,CATEGORY,RANK
9791185152431,"내 문장이 그렇게 이상한가요? - 내가 쓴 글, 내가 다듬는 법",김정선 (지은이),유유,12000,국내도서>인문학>책읽기/글쓰기>글쓰기,8
9788954672214,"시선으로부터,",정세랑 (지은이),문학동네,14000,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9
9788983928207,해리 포터와 마법사의 돌 (미나리마 에디션),"J.K. 롤링 (지은이), 미나리마 (그림), 강동혁 (옮긴이)",문학수첩,33000,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,10
9791131269886,묵향 36 - 부활의 장,전동조 (지은이),SKY미디어(스카이미디어),9000,국내도서>소설/시/희곡>무협소설>한국 무협소설,0
9791190090261,천 개의 파랑 - 2019년 제4회 한국과학문학상 장편소설 부문 대상 수상작,천선란 (지은이),허블,14000,국내도서>소설/시/희곡>과학소설(SF)>한국 과학소설,9
9788925588759,버닝 룸,"마이클 코널리 (지은이), 한정아 (옮긴이)",알에이치코리아(RHK),16000,국내도서>소설/시/희곡>추리/미스터리소설>영미 추리/미스터리소설,10
9791155813508,트라우마 사전 (리커버) - 작가를 위한 캐릭터 창조 가이드,"안젤라 애커만, 베카 푸글리시 (지은이), 임상훈 (옮긴이)",윌북,23000,국내도서>인문학>책읽기/글쓰기>글쓰기,7
9791138001854,탐정은 이미 죽었다 3 - Novel Engine,"니고 쥬우 (지은이), 우미보즈 (그림), 김민준 (옮긴이)",영상출판미디어(주),7500,국내도서>소설/시/희곡>라이트 노벨>노블엔진(Novel Engine),0
9788954679749,펠리시아의 여정,"윌리엄 트레버 (지은이), 박찬원 (옮긴이)",문학동네,14500,국내도서>소설/시/희곡>액션/스릴러소설>외국 액션/스릴러소설,10
9791190382267,마음챙김의 시,류시화 (엮은이),수오서재,13000,국내도서>소설/시/희곡>시>외국시,10
9791190885713,바늘과 가죽의 시,구병모 (지은이),현대문학,13000,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,9
9791136278593,"내 여동생이 이렇게 귀여울 리가 없어 13 - 아야세 if 상, NT Novel","후시미 츠카사 (지은이), 하이무라 키요타카 (그림), 유정한 (옮긴이)",대원씨아이(단행본),7000,국내도서>소설/시/희곡>라이트 노벨>NT(엔티) 노벨,10
9791156758815,어둠 속에서 헤엄치기,"토마시 예드로프스키 (지은이), 백지민 (옮긴이)",푸른숲,15000,국내도서>소설/시/희곡>세계의 소설>동유럽소설,9
